type,type,code,description,standardised_name,concat,,
BNF,SGLT2I,0601023AGAAAAAA,Dapagliflozin 5mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023AGAAAAAA', 'Dapagliflozin 5mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023AGAAABAB,Dapagliflozin 10mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023AGAAABAB', 'Dapagliflozin 10mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023AGBBAAAA,Forxiga 5mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023AGBBAAAA', 'Forxiga 5mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023AGBBABAB,Forxiga 10mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023AGBBABAB', 'Forxiga 10mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023ALAAAAAA,Dapagliflozin 5mg / Metformin 850mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023ALAAAAAA', 'Dapagliflozin 5mg / Metformin 850mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023ALAAABAB,Dapagliflozin 5mg / Metformin 1g tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023ALAAABAB', 'Dapagliflozin 5mg / Metformin 1g tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023ALBBAAAA,Xigduo 5mg/850mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023ALBBAAAA', 'Xigduo 5mg/850mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023ALBBABAB,Xigduo 5mg/1000mg tablets,Dapagliflozin,"  ('BNF', 'SGLT2I', '0601023ALBBABAB', 'Xigduo 5mg/1000mg tablets', 'Dapagliflozin'),",,
BNF,SGLT2I,0601023AMAAAAAA,Canagliflozin 100mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023AMAAAAAA', 'Canagliflozin 100mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023AMAAABAB,Canagliflozin 300mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023AMAAABAB', 'Canagliflozin 300mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023AMBBAAAA,Invokana 100mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023AMBBAAAA', 'Invokana 100mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023AMBBABAB,Invokana 300mg tablets,Canagliflozin,"  ('BNF', 'SGLT2I', '0601023AMBBABAB', 'Invokana 300mg tablets', 'Canagliflozin'),",,
BNF,SGLT2I,0601023ANAAAAAA,Empagliflozin 10mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ANAAAAAA', 'Empagliflozin 10mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ANAAABAB,Empagliflozin 25mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ANAAABAB', 'Empagliflozin 25mg tablets', 'Empagliflozin'),",,
BNF,SGLT2I,0601023ANBBAAAA,Jardiance 10mg tablets,Empagliflozin,"  ('BNF', 'SGLT2I', '0601023ANBBAAAA', 'Jardiance 10mg tablets', 'Empagliflozin'),",,
