type,type,code,description,standardised_name,concat,,,,
BNF,ARB,0205052A0AAAAAA,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052A0AAAAAA', 'Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052A0AAABAB,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052A0AAABAB', 'Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052A0AAACAC,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052A0AAACAC', 'Irbesartan 300mg / Hydrochlorothiazide 25mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052A0BBAAAA,CoAprovel 150mg/12.5mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052A0BBAAAA', 'CoAprovel 150mg/12.5mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052A0BBABAB,CoAprovel 300mg/12.5mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052A0BBABAB', 'CoAprovel 300mg/12.5mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052A0BBACAC,CoAprovel 300mg/25mg tablets,Irbesartan,"  ('BNF', 'ARB', '0205052A0BBACAC', 'CoAprovel 300mg/25mg tablets', 'Irbesartan'),",,,,
BNF,ARB,0205052ABAAAAAA,Olmesartan medoxomil 20mg / Amlodipine 5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ABAAAAAA', 'Olmesartan medoxomil 20mg / Amlodipine 5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ABAAABAB,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ABAAABAB', 'Olmesartan medoxomil 40mg / Amlodipine 5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ABAAACAC,Olmesartan medoxomil 40mg / Amlodipine 10mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ABAAACAC', 'Olmesartan medoxomil 40mg / Amlodipine 10mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ABBBAAAA,Sevikar 20mg/5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ABBBAAAA', 'Sevikar 20mg/5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ABBBABAB,Sevikar 40mg/5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ABBBABAB', 'Sevikar 40mg/5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ABBBACAC,Sevikar 40mg/10mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ABBBACAC', 'Sevikar 40mg/10mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACAAAAAA,Generic Sevikar HCT 20mg/5mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACAAAAAA', 'Generic Sevikar HCT 20mg/5mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACAAABAB,Generic Sevikar HCT 40mg/5mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACAAABAB', 'Generic Sevikar HCT 40mg/5mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACAAACAC,Generic Sevikar HCT 40mg/10mg/12.5mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACAAACAC', 'Generic Sevikar HCT 40mg/10mg/12.5mg tablets', 'Olmesartan'),",,,,
BNF,ARB,0205052ACAAADAD,Generic Sevikar HCT 40mg/5mg/25mg tablets,Olmesartan,"  ('BNF', 'ARB', '0205052ACAAADAD', 'Generic Sevikar HCT 40mg/5mg/25mg tablets', 'Olmesartan'),",,,,
