type,type,code,description,standardised_name,concat
BNF,DIURETIC,0202020D0AAABAB,Bumetanide 2mg/4ml solution for injection ampoules,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0AAABAB', 'Bumetanide 2mg/4ml solution for injection ampoules', 'Bumetanide'),"
BNF,DIURETIC,0202020D0AAADAD,Bumetanide 1mg/5ml oral solution sugar free,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0AAADAD', 'Bumetanide 1mg/5ml oral solution sugar free', 'Bumetanide'),"
BNF,DIURETIC,0202020D0AAAEAE,Bumetanide 1mg tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0AAAEAE', 'Bumetanide 1mg tablets', 'Bumetanide'),"
BNF,DIURETIC,0202020D0AAAFAF,Bumetanide 5mg tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0AAAFAF', 'Bumetanide 5mg tablets', 'Bumetanide'),"
BNF,DIURETIC,0202020D0AAAGAG,Bumetanide 5mg/5ml oral suspension,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0AAAGAG', 'Bumetanide 5mg/5ml oral suspension', 'Bumetanide'),"
BNF,DIURETIC,0202020D0BBAAAE,Burinex 1mg tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0BBAAAE', 'Burinex 1mg tablets', 'Bumetanide'),"
BNF,DIURETIC,0202020D0BBABAF,Burinex 5mg tablets,Bumetanide,"  ('BNF', 'DIURETIC', '0202020D0BBABAF', 'Burinex 5mg tablets', 'Bumetanide'),"
BNF,DIURETIC,0202020L0AAAAAA,Furosemide 20mg/2ml solution for injection ampoules,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AAAAAA', 'Furosemide 20mg/2ml solution for injection ampoules', 'Furosemide'),"
BNF,DIURETIC,0202020L0AAABAB,Furosemide 50mg/5ml solution for injection ampoules,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AAABAB', 'Furosemide 50mg/5ml solution for injection ampoules', 'Furosemide'),"
BNF,DIURETIC,0202020L0AAADAD,Furosemide 250mg/25ml solution for injection ampoules,Furosemide,"  ('BNF', 'DIURETIC', '0202020L0AAADAD', 'Furosemide 250mg/25ml solution for injection ampoules', 'Furosemide'),"
